sample,rtt_us
0,75411.500
1,76552.300
2,75381.700
3,76317.600
4,74039.200
5,75450.500
6,77337.300
7,74484.600
8,76198.900
9,77025.900
10,74968.600
11,77195.000
12,74399.500
13,75621.500
14,75683.900
15,78544.700
16,72639.400
17,79739.400
18,72103.900
19,74825.400
20,521960.500
21,65335.900
22,76752.800
23,76813.800
24,76386.400
25,74927.100
26,74588.300
27,76929.100
28,75239.000
29,78262.600
30,75950.500
31,76050.300
32,73459.000
33,76602.600
34,78744.600
35,73388.100
36,75706.100
37,75490.800
38,75311.100
39,76575.600
40,76813.100
41,74148.100
42,74610.900
43,75603.000
44,76105.800
45,76157.900
46,75196.000
47,75306.400
48,77396.400
49,74490.300
50,80893.200
51,70941.900
52,76381.400
53,75225.800
54,76424.900
55,76089.900
56,77088.600
57,78278.900
58,73853.400
59,77965.900
60,210162.000
61,72906.700
62,71882.700
63,75503.900
64,76775.800
65,75807.800
66,75920.500
67,76872.300
68,72976.600
69,74944.100
70,77246.700
71,77763.700
72,74913.700
73,74777.600
74,75501.300
75,76096.600
76,74746.900
77,78982.100
78,73242.300
79,75167.400
80,75851.100
81,76567.200
82,74549.500
83,77170.700
84,74422.500
85,76988.400
86,77531.100
87,73342.600
88,80295.100
89,71631.600
90,75421.100
91,78860.600
92,73879.100
93,74187.100
94,80562.400
95,71212.300
96,75962.600
97,76586.800
98,73946.600
99,78013.700
100,74780.500
101,74168.100
102,77725.500
103,73579.100
104,75963.300
105,78557.900
106,73301.900
107,77742.900
108,74077.800
109,74443.700
110,76727.600
111,77745.000
112,74225.500
113,77614.500
114,73774.500
115,80167.600
116,73253.100
117,75243.100
118,76358.200
119,74850.300
120,74754.500
121,77227.800
122,74201.300
123,75354.900
124,78612.500
125,74304.200
126,76047.600
127,74942.500
128,77330.500
129,75102.000
130,75319.900
131,74206.000
132,76204.600
133,76335.900
134,74808.600
135,75746.600
136,76749.800
137,76254.200
138,73928.200
139,77304.500
140,76975.000
141,74378.300
142,75969.800
143,76557.400
144,77029.500
145,75478.800
146,76346.500
147,73920.700
148,77270.700
149,74241.800
150,76919.000
151,75600.300
152,77535.000
153,77386.100
154,71421.700
155,78303.300
156,75196.200
157,73301.400
158,74442.900
159,77053.900
160,77279.200
161,75960.900
162,76728.900
163,73552.500
164,76100.800
165,75055.600
166,75307.700
167,79693.800
168,73911.900
169,76151.400
170,76426.000
171,79824.000
172,73810.700
173,71938.800
174,75558.500
175,76566.900
176,78437.900
177,87807.100
178,88278.000
179,85527.400
180,88923.600
181,76823.400
182,80457.300
183,105586.000
184,75203.500
185,78585.400
186,76474.300
187,84806.400
188,73758.100
189,77545.000
190,87846.000
191,100272.200
192,83923.200
193,89014.800
194,117105.400
195,74225.300
196,76701.200
197,83365.500
198,74759.700
199,75522.800
200,75539.300
201,73404.600
202,77570.900
203,75162.000
204,77824.400
205,75762.000
206,75497.800
207,75648.600
208,78125.100
209,74068.900
210,76477.300
211,75442.500
212,75479.900
213,75839.200
214,76130.800
215,76221.500
216,74489.800
217,75451.400
218,76038.800
219,76649.300
220,75272.300
221,75062.800
222,78113.600
223,76504.000
224,75996.800
225,80346.700
226,72252.600
227,78028.800
228,77193.300
229,71902.300
230,78465.400
231,75715.100
232,74156.200
233,87166.200
234,65334.300
235,75684.500
236,80565.100
237,73055.100
238,77428.700
239,74471.900
240,74491.200
241,77447.600
242,75190.100
243,78209.700
244,76707.200
245,75149.500
246,76122.300
247,75859.300
248,76065.100
249,75324.800
250,76665.100
251,74705.800
252,76916.700
253,73847.100
254,75347.900
255,78315.800
256,73246.700
257,75577.600
258,75193.400
259,77092.300
260,76540.500
261,73540.900
262,75084.100
263,76467.400
264,78303.300
265,72557.100
266,76914.900
267,75174.100
268,76962.700
269,75520.300
270,75819.600
271,75509.100
272,74990.400
273,75276.400
274,78833.400
275,75391.500
276,73625.600
277,76681.600
278,75613.500
279,80466.900
280,70622.900
281,75992.500
282,75861.300
283,73959.700
284,74451.600
285,76235.000
286,76991.900
287,77590.900
288,76783.800
289,73483.200
290,75266.600
291,76317.500
292,75271.300
293,74925.800
294,76225.900
295,74092.400
296,76292.900
297,77575.200
298,75526.300
299,75966.200
300,79140.500
301,89549.900
302,64982.900
303,75686.200
304,74978.700
305,75687.900
306,76560.700
307,77425.600
308,73735.600
309,77092.400
310,78530.800
311,74822.700
312,74485.900
313,75118.900
314,75883.900
315,75380.000
316,75745.300
317,76616.500
318,74717.400
319,76485.100
320,76272.300
321,76519.600
322,78139.100
323,74912.600
324,74048.400
325,76269.900
326,74154.200
327,254087.700
328,68165.500
329,73967.000
330,76984.800
331,75313.300
332,76134.500
333,76448.900
334,75916.800
335,76230.200
336,76780.000
337,75159.000
338,76102.700
339,78732.000
340,77786.300
341,83355.900
342,75870.000
343,76016.800
344,75745.300
345,91875.900
346,77427.900
347,74600.800
348,75664.500
349,77090.500
350,74836.700
351,75680.200
352,82138.400
353,68659.700
354,76511.400
355,82475.700
356,84714.300
357,72466.300
358,115280.300
359,87688.100
360,80115.300
361,72069.200
362,73711.300
363,75666.000
364,76861.600
365,75614.100
366,86202.000
367,74439.100
368,77473.800
369,74183.700
370,76213.300
371,76365.900
372,76276.500
373,74684.500
374,83506.800
375,76076.200
376,80029.700
377,71499.700
378,82742.100
379,82108.200
380,84082.000
381,73187.900
382,75419.300
383,75779.300
384,76995.700
385,79556.600
386,78124.200
387,81804.100
388,82421.700
389,76570.600
390,75281.700
391,77148.900
392,74185.800
393,595240.600
394,65294.400
395,77161.200
396,74247.200
397,74449.200
398,75621.300
399,75352.400
400,75667.500
401,78599.000
402,75063.300
403,76740.500
404,72960.200
405,75405.200
406,74429.400
407,76853.900
408,78145.900
409,76515.700
410,75327.700
411,75788.800
412,77912.200
413,74828.100
414,73856.600
415,76584.100
416,75487.000
417,75622.500
418,76339.800
419,76290.000
420,103320.600
421,88267.400
422,78120.500
423,75255.700
424,74255.000
425,76655.700
426,75706.200
427,75213.500
428,76628.800
429,252474.200
430,65088.800
431,76743.900
432,78142.500
433,85600.100
434,77999.200
435,90459.800
436,86826.200
437,75387.400
438,75891.800
439,79501.900
440,72279.100
441,75985.700
442,74068.700
443,76644.700
444,73703.400
445,76854.400
446,75600.000
447,75450.900
448,76969.800
449,76012.500
450,76575.100
451,78379.400
452,101167.400
453,75936.400
454,75817.300
455,79616.300
456,75423.700
457,77202.400
458,77229.800
459,73548.700
460,74258.800
461,80672.100
462,72562.500
463,77680.300
464,73141.500
465,75153.500
466,75904.600
467,77243.100
468,75720.500
469,74856.800
470,79641.300
471,77448.000
472,74647.600
473,76269.700
474,74889.600
475,79109.800
476,87122.100
477,75295.800
478,76904.500
479,89014.000
480,91516.300
481,75259.300
482,75947.700
483,76295.900
484,77579.300
485,74347.300
486,77512.600
487,77736.700
488,76951.900
489,103250.400
490,95072.400
491,84801.400
492,80648.800
493,79520.100
494,77099.600
495,73794.300
496,72447.000
497,88852.000
498,76011.800
499,81471.000
500,74395.300
501,75681.200
502,75148.200
503,76515.700
504,75003.800
505,75372.200
506,75467.200
507,76299.800
508,77307.600
509,75205.700
510,76912.300
511,76880.500
512,76036.700
513,76257.600
514,78665.700
515,74895.700
516,73906.100
517,76384.300
518,76696.900
