sample,rtt_us
0,7485.200
1,3879.900
2,4111.400
3,10261.500
4,4500.500
5,2648.600
6,3083.800
7,5207.100
8,2742.500
9,3546.200
10,2772.800
11,2664.300
12,2870.800
13,4416.300
14,4687.700
15,7054.200
16,2602.800
17,2840.400
18,3802.600
19,4586.500
20,3665.200
21,3366.600
22,2771.300
23,6127.500
24,2750.800
25,2763.800
26,5810.600
27,2682.400
28,3716.900
29,3284.900
30,3964.100
31,7924.200
32,2747.200
33,3381.100
34,9688.400
35,2837.100
36,7391.000
37,2670.700
38,12387.500
39,3139.800
40,4058.100
41,2856.100
42,4052.700
43,2761.800
44,4886.900
45,6935.000
46,2988.100
47,2748.200
48,2811.000
49,2765.700
50,6433.200
51,3441.200
52,2847.900
53,5184.500
54,3551.800
55,3380.600
56,3609.400
57,2949.800
58,3551.700
59,12413.200
60,2606.700
61,5417.400
62,2725.300
63,5097.500
64,2869.500
65,3452.800
66,4235.700
67,4571.600
68,7198.400
69,6220.300
70,2888.300
71,2686.200
72,8352.000
73,7664.100
74,7309.100
75,3491.000
76,3252.800
77,10217.400
78,6720.000
79,4887.500
80,3019.300
81,2668.400
82,4937.100
83,5164.200
84,2829.800
85,10628.700
86,2687.000
87,2988.400
88,2675.800
89,5715.100
90,2749.200
91,4763.700
92,9806.000
93,3701.800
94,3313.800
95,2858.900
96,10397.500
97,10168.800
98,8217.600
99,4308.100
100,14790.100
101,12200.800
102,2674.100
103,11916.200
104,5396.900
105,5448.500
106,2661.900
107,4123.100
108,3226.200
109,5235.000
110,9606.100
111,4269.500
112,3322.900
113,2751.800
114,3104.900
115,2686.600
116,2676.700
117,3523.200
118,3956.300
119,3915.200
120,9099.300
121,3053.100
122,4441.500
123,4392.900
124,5496.200
125,5615.500
126,6641.000
127,4710.000
128,9910.300
129,2940.400
130,2684.700
131,3116.900
132,3482.000
133,2721.200
134,2710.600
135,6750.100
136,2959.200
137,2838.900
138,3131.700
139,4141.400
140,9862.800
141,4669.000
142,107626.500
143,3106.700
144,3865.700
145,9822.100
146,4587.100
147,6773.400
148,2949.900
149,2738.400
150,2561.300
151,5199.200
152,2741.900
153,10828.600
154,3047.600
155,3313.800
156,4933.700
157,4049.000
158,2873.800
159,3594.100
160,8692.200
161,5217.200
162,2819.500
163,4796.900
164,4207.000
165,4923.300
166,4245.200
167,4543.900
168,7950.600
169,4430.600
170,4694.700
171,3261.500
172,3365.500
173,3291.300
174,4202.900
175,3706.100
176,2997.100
177,7634.300
178,2648.100
179,4580.600
180,5297.000
181,4780.900
182,8384.000
183,2722.400
184,2738.900
185,2627.800
186,3497.800
187,6664.500
188,3185.200
189,5961.500
190,3024.300
191,3442.200
192,6054.400
193,5866.400
194,2674.000
195,2787.700
196,4739.600
197,2613.400
198,3798.200
199,2490.400
200,2671.100
201,3692.000
202,8700.000
203,7696.200
204,10864.400
205,2904.500
206,2612.200
207,2584.000
208,5852.300
209,2561.800
210,4122.300
211,8509.900
212,3448.500
213,3565.800
214,4450.100
215,4813.200
216,13564.300
217,3958.700
218,2625.300
219,2700.300
220,6732.300
221,2790.500
222,8236.400
223,5875.700
224,3701.600
225,4473.600
226,7881.700
227,6171.300
228,2691.100
229,5011.500
230,6462.200
231,2803.700
232,3457.900
233,2733.700
234,2813.000
235,5539.300
236,6492.400
237,7159.600
238,5773.100
239,5012.200
240,4918.400
241,2585.000
242,9878.300
243,5935.500
244,2720.000
245,4209.500
246,5618.700
247,236093.000
248,7477.500
249,3420.800
250,3154.000
251,8498.600
252,2708.400
253,2969.500
254,7679.700
255,2605.200
256,3562.700
257,6560.200
258,3314.500
259,3360.300
260,2737.900
261,16884.000
262,3101.400
263,3793.700
264,2644.900
265,2724.200
266,4599.400
267,6223.400
268,4084.200
269,20778.000
270,5201.900
271,3943.800
272,2789.300
273,3240.800
274,3287.700
275,4841.600
276,4301.000
277,4121.700
278,3639.600
279,3582.800
280,3701.000
281,11003.700
282,2596.900
283,2712.600
284,4165.400
285,3309.900
286,4869.700
287,2825.800
288,4473.200
289,3799.800
290,4076.800
291,3704.300
292,3531.100
293,5882.400
294,3295.500
295,3675.700
296,3330.000
297,2694.400
298,4180.000
299,3972.700
300,6340.300
301,3080.200
302,3871.800
303,5970.600
304,3032.100
305,3206.400
306,3974.400
307,3454.800
308,2585.200
309,3906.100
310,2599.800
311,4843.000
312,7867.300
313,2586.500
314,3903.800
315,2618.900
316,3573.700
317,3349.700
318,2487.100
319,8043.100
320,3291.400
321,2730.700
322,3317.700
323,3039.600
324,4403.500
325,3869.000
326,3705.900
327,4465.500
328,9191.000
329,2681.300
330,6108.100
331,3115.500
332,3161.500
333,3911.300
334,3872.100
335,2622.300
336,2589.100
337,3088.300
338,13752.800
339,3755.600
340,2609.300
341,4905.200
342,13975.600
343,2576.600
344,12278.000
345,3872.300
346,2717.500
347,2717.700
348,2607.100
349,2795.600
350,5284.200
351,5301.400
352,4667.100
353,3993.800
354,2591.500
355,2650.500
356,3853.300
357,3189.200
358,4370.800
359,3038.800
360,4031.200
361,3383.900
362,5058.900
363,2629.900
364,2623.800
365,2844.700
366,4766.400
367,11296.000
368,7842.900
369,2561.700
370,2648.900
371,3297.200
372,2587.000
373,3238.700
374,11570.400
375,3216.200
376,4159.200
377,3506.500
378,3351.800
379,3410.000
380,3605.500
381,2555.500
382,3413.500
383,20729.600
384,4172.400
385,2787.600
386,8055.400
387,12289.000
388,2946.100
389,2707.000
390,5000.300
391,4198.100
392,2739.400
393,2895.300
394,4785.100
395,3446.600
396,2708.900
397,4551.600
398,5412.200
399,3725.800
400,5709.600
401,3544.200
402,4371.900
403,2975.500
404,3924.800
405,2626.500
406,6091.400
407,2660.400
408,3666.400
409,10527.800
410,3119.400
411,3444.600
412,4875.600
413,2681.100
414,2535.400
415,2590.500
416,3810.900
417,8023.200
418,7635.100
419,15532.900
420,5667.400
421,3356.300
422,5488.200
423,2683.000
424,3370.000
425,4741.300
426,3300.400
427,3177.300
428,3291.800
429,7847.800
430,3260.000
431,2766.400
432,2908.900
433,3130.000
434,4773.400
435,5772.500
436,3360.100
437,4061.700
438,4868.000
439,4867.000
440,2613.300
441,2763.000
442,7092.800
443,4639.600
444,2565.600
445,2961.700
446,3512.500
447,3964.500
448,3827.900
449,5743.600
450,4328.200
451,16739.900
452,4669.800
453,3641.300
454,4516.300
455,7846.900
456,4247.100
457,4450.700
458,3038.800
459,2587.000
460,3051.600
461,3079.100
462,2931.500
463,8840.700
464,7213.600
465,3806.800
466,2769.700
467,2709.100
468,5012.500
469,4051.700
470,3145.500
471,7949.900
472,2711.100
473,3147.700
474,4366.500
475,5394.900
476,3185.900
477,4417.700
478,4301.300
479,4188.700
480,2880.300
481,9724.600
482,3916.200
483,7193.200
484,2777.500
485,6736.100
486,4119.700
487,8086.900
488,3623.100
489,7922.500
490,3414.900
491,5318.800
492,2654.300
493,8199.900
494,2708.700
495,25291.400
496,4746.900
497,2721.200
498,2617.500
499,2627.100
500,3234.100
501,3845.400
502,3791.800
503,10132.300
504,2729.700
505,3120.400
506,2556.200
507,3366.300
508,2648.800
509,7883.400
510,4223.300
511,2779.100
512,2552.400
513,2669.100
514,2723.600
515,2621.900
516,5763.200
517,8254.100
518,2944.600
519,3951.600
520,2558.900
521,3443.800
522,2784.900
523,3849.800
524,3543.800
525,2645.100
526,2839.000
527,13044.100
528,3748.500
529,2837.300
530,6323.900
531,2691.600
532,2671.700
533,8605.100
534,4742.100
535,3546.000
536,2708.300
537,2767.800
538,4298.000
539,3935.500
540,7932.200
541,3854.600
542,4148.100
543,3101.200
544,3309.600
545,3265.300
546,16768.400
547,3070.900
548,2585.300
549,2716.500
550,2749.600
551,3922.400
552,10150.800
553,4227.100
554,3498.300
555,2776.200
556,4073.300
557,2700.700
558,2586.800
559,10004.300
560,4198.800
561,3097.900
562,5986.900
563,2627.000
564,4310.500
565,3462.400
566,2709.200
567,3878.900
568,5403.100
569,4472.700
570,3743.100
571,2572.300
572,2604.200
573,2666.500
574,3337.800
575,5189.400
576,3397.300
577,4152.200
578,2529.600
579,7451.200
580,2691.200
581,145393.200
582,6712.600
583,5811.400
584,2606.100
585,5158.700
586,2679.800
587,2707.300
588,5851.800
589,2893.500
590,4370.500
591,3004.500
592,2545.400
593,3108.700
594,2785.700
595,2540.800
596,3410.500
597,3218.500
598,4295.000
599,4259.200
600,6411.400
601,4440.600
602,4575.200
603,9677.600
604,6881.200
605,4393.600
606,3593.300
607,2602.000
608,2768.200
609,3735.000
610,4029.100
611,2743.800
612,5242.600
613,2710.800
614,6692.000
615,2601.600
616,3422.200
617,2579.100
618,2643.300
619,5280.100
620,2668.900
621,8784.500
622,3582.300
623,2978.600
624,2597.100
625,2744.400
626,3536.700
627,6064.100
628,2576.800
629,3939.500
630,4662.200
631,2803.100
632,2542.500
633,3712.200
634,3536.000
635,6913.700
636,2820.900
637,4387.500
638,2982.700
639,2573.600
640,2675.400
641,2604.300
642,2648.100
643,2723.200
644,5581.200
645,2643.600
646,5037.300
647,3726.100
648,2586.500
649,7786.100
650,3121.600
651,2512.700
652,3323.000
653,3228.000
654,7123.400
655,3542.700
656,5531.200
657,3576.400
658,3873.200
659,2588.500
660,2710.400
661,2699.000
662,5359.100
663,3730.400
664,4069.100
665,3959.500
666,2622.700
667,2559.700
668,2987.800
669,2590.400
670,3159.700
671,6668.300
672,6513.700
673,3763.100
674,2579.200
675,2637.300
676,4303.000
677,2566.400
678,3058.900
679,3733.100
680,3590.600
681,9369.900
682,7595.800
683,2876.000
684,2604.500
685,2789.900
686,5237.400
687,7044.000
688,4378.200
689,5913.900
690,2645.500
691,2934.800
692,3042.300
693,10082.600
694,2674.500
695,13243.200
696,2680.300
697,4381.300
698,5235.200
699,4737.400
700,10883.300
701,3659.300
702,3377.300
703,6922.700
704,2675.300
705,4535.200
706,8710.200
707,5461.200
708,2775.400
709,3866.100
710,3374.800
711,5727.100
712,3527.400
713,6105.600
714,3120.900
715,2724.400
716,2621.300
717,3759.800
718,2719.400
719,5892.700
720,3531.100
721,5818.200
722,2788.200
723,2581.400
724,2657.200
725,2567.200
726,3430.100
727,6610.900
728,4183.700
729,2589.300
730,3621.400
731,9114.000
732,3755.000
733,2784.800
734,6936.000
735,3175.500
736,7081.500
737,2616.500
738,2547.700
739,2885.200
740,2596.000
741,5374.200
742,2776.000
743,2635.900
744,4458.400
745,6253.200
746,4171.100
747,6353.900
748,2563.200
749,3365.500
750,2573.100
751,2649.300
752,7093.400
753,3235.100
754,4219.300
755,3840.800
756,2569.200
757,2539.700
758,2764.200
759,2557.200
760,2542.200
761,8396.000
762,2916.400
763,6087.100
764,2786.400
765,2644.700
766,2590.500
767,2658.400
768,3952.200
769,4391.500
770,3570.500
771,8421.100
772,4140.000
773,2798.400
774,2941.300
775,5048.600
776,6519.500
777,5408.800
778,3218.400
779,4575.200
780,2656.800
781,2638.400
782,2711.100
783,6224.700
784,4746.800
785,3258.000
786,3358.300
787,6471.000
788,2743.900
789,2638.200
790,11497.100
791,2842.200
792,6123.400
793,3356.300
794,4435.400
795,3041.200
796,2782.600
797,2596.800
798,3424.200
799,3770.700
800,3397.900
801,6046.200
802,7735.400
803,3485.600
804,2736.400
805,7580.700
806,5559.900
807,2790.900
808,2580.700
809,2500.800
810,2693.500
811,2597.500
812,2865.400
813,3667.700
814,5404.900
815,7324.500
816,3334.200
817,2614.600
818,3135.300
819,2872.600
820,5874.400
821,2885.300
822,2641.900
823,4457.400
824,3632.500
825,6068.700
826,4654.100
827,5451.800
828,3967.400
829,4022.000
830,4801.700
831,3494.600
832,2859.800
833,4457.300
834,2709.900
835,2557.200
836,2688.200
837,4458.900
838,5303.900
839,7610.500
840,6372.800
841,2656.600
842,2542.600
843,2759.800
844,5557.300
845,6460.100
846,2557.300
847,5565.300
848,5399.900
849,3161.700
850,2691.800
851,7046.400
852,3860.700
853,3968.500
854,3518.200
855,2672.400
856,4206.300
