sample,rtt_us
0,4585.400
1,4708.100
2,2684.200
3,6912.500
4,2640.800
5,2765.800
6,2784.000
7,2915.500
8,4573.900
9,5410.500
10,5797.600
11,3930.500
12,2599.300
13,3246.500
14,2652.000
15,2788.500
16,4701.700
17,2588.700
18,5000.900
19,6607.700
20,2606.700
21,3023.900
22,3177.600
23,8416.000
24,3608.000
25,6970.400
26,3681.100
27,2622.300
28,2644.700
29,3829.600
30,2518.800
31,3530.100
32,3014.400
33,2624.800
34,6137.100
35,3479.200
36,3558.400
37,9058.600
38,2833.700
39,8540.900
40,4750.400
41,2620.200
42,5926.400
43,2794.700
44,2771.700
45,3081.900
46,2682.800
47,2720.700
48,7605.200
49,4622.400
50,3471.000
51,2704.300
52,2598.400
53,2974.300
54,2700.500
55,4779.400
56,3315.200
57,6588.800
58,4502.400
59,2869.600
60,6799.600
61,2666.500
62,2682.400
63,8073.200
64,8591.600
65,3808.700
66,3482.100
67,2808.000
68,2662.300
69,3556.200
70,2725.900
71,4479.800
72,5253.700
73,4657.500
74,4701.200
75,2891.000
76,2674.000
77,2661.700
78,2758.000
79,4592.000
80,4326.700
81,3480.700
82,5918.700
83,4024.900
84,5153.100
85,4073.600
86,2894.700
87,10095.500
88,11310.300
89,2663.800
90,2644.000
91,3178.700
92,5585.300
93,4509.500
94,3628.900
95,11491.800
96,2551.100
97,3139.100
98,2612.700
99,3126.100
100,3763.200
101,3657.000
102,6196.600
103,8801.300
104,5037.700
105,3900.200
106,4633.600
107,3340.900
108,4195.500
109,3481.900
110,3254.800
111,190810.000
112,3240.000
113,2995.200
114,3050.800
115,2877.300
116,3720.400
117,5463.200
118,4481.100
119,3101.400
120,5915.700
121,2534.700
122,2548.700
123,2713.500
124,4744.600
125,4834.000
126,3783.300
127,2837.800
128,3542.300
129,4060.800
130,3200.400
131,3932.800
132,2694.900
133,10010.800
134,3435.400
135,6271.800
136,2813.600
137,3028.200
138,3408.800
139,2698.700
140,4145.300
141,4050.300
142,195869.500
143,3395.200
144,2835.400
145,3806.100
146,5511.300
147,3426.900
148,2912.300
149,4866.300
150,3638.700
151,5131.600
152,14780.500
153,2667.000
154,7255.800
155,3985.600
156,2838.800
157,6935.400
158,2616.200
159,2615.800
160,2726.000
161,2917.900
162,2564.900
163,3237.700
164,3153.200
165,2617.700
166,3837.400
167,5447.700
168,2804.800
169,2688.800
170,4309.700
171,2510.200
172,6440.200
173,9576.300
174,3266.900
175,2574.400
176,5718.900
177,4549.800
178,9875.000
179,3917.500
180,2937.800
181,3388.500
182,3451.900
183,3830.400
184,2557.400
185,11070.400
186,2850.900
187,3889.900
188,4707.600
189,4266.200
190,3654.100
191,4366.400
192,3870.600
193,4264.900
194,15014.500
195,3759.000
196,5769.600
197,6446.300
198,3318.200
199,4490.600
200,4114.400
201,8024.400
202,2700.300
203,4723.400
204,5079.600
205,3236.600
206,2917.400
207,8928.500
208,4087.600
209,2573.000
210,4402.400
211,4102.800
212,204093.800
213,207125.400
214,12468.700
215,3400.600
216,2726.600
217,2585.500
218,2633.800
219,2750.600
220,5824.000
221,3691.100
222,2743.000
223,3695.900
224,3263.700
225,2614.800
226,3703.200
227,3734.100
228,3020.200
229,4764.200
230,15906.000
231,14559.400
232,16022.300
233,9021.500
234,2814.800
235,2696.600
236,2577.800
237,5836.500
238,4977.100
239,3985.500
240,9251.100
241,2694.000
242,2551.200
243,3083.300
244,8472.300
245,3910.100
246,4044.300
247,5071.000
248,3758.400
249,2612.200
250,2642.300
251,5379.000
252,12773.800
253,2752.300
254,9930.600
255,2689.300
256,2954.000
257,2533.200
258,6970.200
259,2835.900
260,3046.600
261,3676.800
262,3488.200
263,2522.600
264,2582.500
265,4217.400
266,3612.200
267,3692.000
268,2759.700
269,149827.500
270,4117.000
271,7599.700
272,6930.900
273,9545.800
274,5939.000
275,3448.400
276,3896.600
277,12414.500
278,3532.600
279,5279.400
280,2956.100
281,3599.700
282,10139.000
283,11482.600
284,9142.900
285,9032.400
286,4500.900
287,3711.400
288,7647.600
289,3411.000
290,2889.800
291,3563.100
292,3775.000
293,4059.300
294,5877.200
295,3821.400
296,5513.300
297,4384.800
298,7028.800
299,8791.200
300,2637.400
301,2712.700
302,2612.100
303,2603.700
304,3628.400
305,5633.200
306,2733.300
307,3233.000
308,3534.300
309,12067.200
310,8845.100
311,2761.800
312,6228.100
313,5392.900
314,9943.200
315,4128.800
316,2586.500
317,3200.300
318,5896.600
319,2660.100
320,2595.800
321,6039.400
322,3081.800
323,2599.500
324,3015.400
325,2567.800
326,2901.600
327,7085.100
328,11589.700
329,3315.300
330,4754.200
331,3054.100
332,10236.300
333,4187.800
334,2639.500
335,2633.400
336,2594.900
337,2607.300
338,4776.000
339,10870.200
340,3114.600
341,2591.600
342,3514.700
343,3812.900
344,2533.400
345,7100.000
346,2686.900
347,2903.700
348,4090.900
349,2971.100
350,3876.400
351,4755.200
352,3679.000
353,4217.500
354,2526.300
355,2692.100
356,10516.600
357,3971.400
358,2958.500
359,2830.200
360,2723.800
361,3761.100
362,2516.900
363,8651.400
364,4214.600
365,3715.700
366,3019.300
367,3087.800
368,7796.100
369,6456.700
370,3430.100
371,6289.400
372,7773.800
373,11979.900
374,3419.700
375,2603.300
376,6644.600
377,6397.700
378,2863.400
379,2621.000
380,3050.100
381,3621.900
382,4035.500
383,3719.000
384,7414.400
385,5032.800
386,2565.000
387,2575.900
388,2889.200
389,2552.200
390,4421.100
391,11499.000
392,5036.800
393,2603.400
394,6134.200
395,3839.000
396,3189.300
397,4519.300
398,7229.900
399,3477.300
400,4413.300
401,4574.500
402,2618.900
403,4027.700
404,2919.800
405,3773.800
406,4013.200
407,4693.500
408,8000.900
409,9783.900
410,3594.200
411,4309.700
412,2578.100
413,2981.700
414,8243.800
415,4226.700
416,123834.900
417,3810.300
418,2810.500
419,6919.000
420,5772.400
421,4378.100
422,4257.500
423,2861.900
424,3689.100
425,2652.600
426,4094.800
427,6436.000
428,2777.900
429,12833.600
430,3850.900
431,2536.500
432,3390.400
433,3033.400
434,3879.300
435,5186.500
436,12990.100
437,2802.500
438,4243.900
439,3884.900
440,9293.400
441,3323.800
442,3330.700
443,5643.000
444,8756.900
445,3344.200
446,9406.300
447,4328.000
448,3726.100
449,3967.600
450,5476.900
451,4419.500
452,6362.300
453,3147.700
454,5987.800
455,4620.200
456,3277.200
457,3277.800
458,2906.700
459,3709.600
460,2701.100
461,8344.900
462,2580.000
463,2538.000
464,2963.200
465,3100.200
466,4376.400
467,6866.900
468,3603.000
469,2736.200
470,2910.900
471,2542.400
472,3531.700
473,2973.700
474,4376.300
475,3765.800
476,2546.100
477,3711.500
478,4126.000
479,3002.400
480,3224.600
481,3342.800
482,5839.200
483,4757.500
484,4454.900
485,10148.100
486,5650.000
487,3938.000
488,2683.700
489,2674.400
490,2732.800
491,3490.500
492,4182.100
493,2591.100
494,3444.800
495,4579.900
496,2632.000
497,2949.800
498,3446.600
499,3555.100
500,6326.900
501,2662.700
502,2661.800
503,9244.400
504,4323.300
505,2544.500
506,3943.400
507,3593.200
508,2735.500
509,4393.400
510,3713.600
511,2857.000
512,3420.000
513,5344.500
514,7565.000
515,3257.100
516,4935.600
517,2575.300
518,2600.000
519,2726.300
520,8377.800
521,2635.500
522,3543.300
523,2615.100
524,4366.600
525,3718.100
526,2856.100
527,4341.600
528,4532.500
529,5095.700
530,2690.100
531,2750.200
532,16286.200
533,3409.000
534,4240.100
535,3096.300
536,2668.700
537,5448.400
538,5298.600
539,2590.500
540,2853.300
541,5010.100
542,2602.200
543,3080.800
544,11314.700
545,3643.300
546,3676.900
547,3485.800
548,2639.400
549,7299.900
550,3501.200
551,2858.200
552,2527.000
553,5286.000
554,6227.900
555,2705.800
556,2854.700
557,5435.400
558,2639.800
559,2655.300
560,2782.200
561,7468.600
562,21806.800
563,4766.500
564,3685.100
565,3225.800
566,4191.500
567,6092.300
568,4551.400
569,3203.400
570,2548.900
571,4952.000
572,8965.700
573,6493.800
574,2538.000
575,10346.500
576,2948.900
577,3383.900
578,4046.000
579,6847.900
580,7464.700
581,3023.800
582,2589.200
583,2863.900
584,2565.400
585,2629.900
586,12094.300
587,3606.500
588,2954.000
589,2520.000
590,3840.400
591,4597.200
592,6231.200
593,3266.700
594,4095.900
595,4379.300
596,4735.800
597,2644.300
598,3248.400
599,2632.100
600,6832.200
601,2599.800
602,4728.200
603,13752.300
604,3624.500
605,3310.600
606,2702.900
607,2573.400
608,7092.600
609,2621.800
610,3995.400
611,3385.500
612,3390.300
613,3801.100
614,4750.400
615,4212.200
616,2962.100
617,3129.800
618,2873.400
619,4622.900
620,140450.500
621,4237.900
622,3285.100
623,2805.400
624,8280.800
625,2815.600
626,2547.700
627,2756.900
628,3647.000
629,6199.200
630,2645.300
631,2661.900
632,3041.400
633,8454.600
634,3505.200
635,3553.900
636,3226.600
637,143927.300
638,3857.900
639,4557.300
640,3254.800
641,2557.600
642,6262.000
643,2629.000
644,2755.200
645,2589.500
646,8081.200
647,3543.900
648,12797.700
649,2899.000
650,3154.300
651,3848.200
652,7308.800
653,4386.900
654,2683.000
655,2805.000
656,2862.300
657,4474.500
658,3708.600
659,8200.200
660,3041.300
661,3322.900
662,2627.500
663,3146.200
664,8883.100
665,4779.500
666,3420.100
667,2790.300
668,2617.600
669,2615.800
670,3109.300
671,2619.100
672,4398.400
673,3078.800
674,2661.300
675,4026.100
676,4010.500
677,2911.700
678,2580.500
679,4449.700
680,2588.500
681,3001.400
682,3910.000
683,3370.700
684,2912.300
685,3482.000
686,2739.200
687,6974.300
688,3992.600
689,2655.800
690,10218.100
691,3679.900
692,2640.100
693,4056.900
694,3146.100
695,3844.900
696,2566.300
697,3409.500
698,6133.200
699,7900.400
700,6840.400
701,2643.600
702,2774.400
703,4906.400
704,4214.500
705,4312.500
706,2716.200
707,6646.500
708,3030.700
709,2610.200
710,6035.200
711,2648.100
712,3109.100
713,3682.200
714,13798.100
715,2724.500
716,3313.100
717,2634.400
718,2532.000
719,8664.400
720,3905.400
721,7785.500
722,2961.900
723,5705.200
724,10106.400
725,6943.900
726,2808.500
727,10986.300
728,2738.800
729,5434.100
730,4679.200
731,2766.200
732,9511.200
733,3535.000
734,4192.600
735,3199.200
736,2813.600
737,6223.000
738,2847.100
739,3697.100
740,4533.500
741,2694.900
742,2548.600
743,3338.300
744,7398.500
745,3765.200
746,4696.500
747,4188.200
748,4182.000
749,2523.100
750,3310.600
751,2578.400
752,3774.700
753,4698.600
754,9796.500
755,5109.300
756,2841.900
757,3331.800
758,4104.700
759,3589.900
760,2599.800
761,3837.700
762,4789.300
