sample,rtt_us
0,78977.600
1,74029.800
2,78208.200
3,73041.800
4,74693.800
5,75872.700
6,76546.000
7,73809.700
8,76149.800
9,111891.900
10,82337.400
11,160643.600
12,78495.400
13,74062.600
14,77436.400
15,76074.900
16,206579.400
17,65740.400
18,77815.500
19,77226.200
20,73619.900
21,76394.300
22,76323.900
23,76822.000
24,82087.700
25,96451.000
26,77273.600
27,73882.000
28,77159.100
29,74316.400
30,77679.800
31,74494.700
32,75920.600
33,75783.900
34,75528.700
35,75932.300
36,75471.700
37,76035.600
38,74418.900
39,75900.400
40,86237.200
41,90997.400
42,76690.200
43,75674.300
44,75230.200
45,77283.900
46,75112.100
47,74338.100
48,77063.400
49,75149.300
50,77719.800
51,75737.800
52,77910.600
53,73835.400
54,74599.200
55,82168.300
56,81935.200
57,70548.100
58,75718.500
59,75165.200
60,80483.000
61,72300.300
62,77001.800
63,75799.500
64,74793.200
65,73799.500
66,77768.300
67,74263.100
68,74270.700
69,77515.200
70,74916.000
71,75498.500
72,76473.700
73,75447.600
74,79312.900
75,74939.300
76,76909.600
77,74098.400
78,75914.900
79,76506.900
80,75899.800
81,75128.500
82,77172.200
83,77070.900
84,75635.700
85,75489.600
86,75732.300
87,81007.600
88,70627.000
89,76958.800
90,75341.000
91,74501.200
92,75470.400
93,76047.100
94,74599.300
95,77082.200
96,77997.100
97,73798.200
98,76479.900
99,75592.700
100,254209.300
101,68044.100
102,73854.100
103,78926.200
104,73739.300
105,80464.700
106,75218.100
107,74177.400
108,77081.900
109,76432.900
110,75699.100
111,74522.100
112,75790.200
113,75925.200
114,75611.700
115,75585.600
116,77035.100
117,74198.000
118,196806.100
119,66759.200
120,75384.500
121,75616.300
122,76997.600
123,76708.800
124,77738.300
125,75643.000
126,78214.600
127,73374.500
128,75611.200
129,77164.300
130,74838.100
131,74917.100
132,76362.500
133,75677.400
134,73991.300
135,76118.200
136,76434.800
137,74886.100
138,76258.400
139,75457.100
140,77547.500
141,74355.800
142,76764.100
143,74275.500
144,81625.300
145,71152.000
146,75499.700
147,76179.000
148,76442.500
149,75927.700
150,77293.800
151,77370.400
152,74711.100
153,75596.500
154,74943.900
155,76625.300
156,76974.900
157,155459.000
158,77762.100
159,74735.500
160,93245.700
161,87737.500
162,76051.800
163,75990.400
164,76950.700
165,73544.500
166,75883.400
167,76010.000
168,76001.900
169,77222.700
170,75401.700
171,75425.300
172,74583.500
173,75357.300
174,75320.700
175,78496.100
176,73845.200
177,75755.400
178,76079.500
179,77919.000
180,74648.300
181,75478.500
182,76280.900
183,74855.100
184,75582.200
185,75845.700
186,77840.200
187,76153.600
188,73885.200
189,76445.300
190,76068.500
191,75052.200
192,78287.100
193,73960.800
194,74699.000
195,75633.300
196,76318.000
197,75719.700
198,75198.500
199,75356.100
200,75018.300
201,77984.600
202,76001.800
203,74151.500
204,79867.000
205,69692.600
206,76316.700
207,75164.900
208,76358.600
