sample,rtt_us
0,4406.400
1,4022.100
2,3898.900
3,4787.100
4,6102.100
5,4074.800
6,5452.500
7,3407.800
8,4841.600
9,4330.000
10,9000.800
11,6369.100
12,4521.200
13,5546.100
14,3827.900
15,4419.600
16,3745.800
17,5397.600
18,5416.200
19,3941.100
20,3772.100
21,4223.700
22,4581.800
23,4151.900
24,6651.000
25,5363.500
26,6428.300
27,5383.500
28,8616.700
29,15575.700
30,6906.900
31,7856.000
32,6284.200
33,23969.600
34,14817.900
35,20256.500
36,6724.900
37,3743.800
38,44291.800
39,8165.300
40,5101.600
41,15096.900
42,24080.100
43,7892.600
44,8819.600
45,7166.800
46,11476.200
47,33513.200
48,8285.500
49,6142.600
50,4741.400
51,21375.400
52,9144.700
53,14078.800
54,13403.000
55,8558.500
56,8373.400
57,6034.400
58,5568.100
59,39370.400
60,7377.300
61,7955.500
62,12928.200
63,183280.300
64,4861.000
65,5537.600
66,3936.800
67,3600.700
68,3446.100
69,186916.800
70,13759.700
71,7595.400
72,6769.100
73,6271.300
74,11126.100
75,4668.600
76,3642.800
77,3778.900
78,4240.700
79,3718.200
80,3475.100
81,3994.200
82,4470.700
83,3776.500
84,5023.800
85,3783.500
86,3615.500
87,4040.600
88,7627.600
89,6041.800
90,4499.500
91,5153.400
92,5873.700
93,4320.000
94,6134.800
95,3546.600
96,5563.100
97,5322.700
98,9363.900
99,3664.300
100,5150.300
101,4041.100
102,4687.600
103,4657.200
104,3558.900
105,4216.900
106,6454.200
107,4190.500
108,3682.200
109,7854.600
110,4768.900
111,3621.500
112,3806.500
113,7214.300
114,4311.500
115,5181.000
116,3693.500
117,3738.700
118,3556.500
119,3801.500
120,3540.700
121,4355.200
122,3456.900
123,3644.400
124,3812.500
125,4077.900
126,4538.500
127,4594.200
128,3428.600
129,5124.800
130,4929.200
131,3880.900
132,3596.600
133,6634.900
134,4000.300
135,3481.200
136,197673.500
137,4204.400
138,10850.100
139,5139.300
140,3702.500
141,5146.000
142,4036.800
143,4346.300
144,3405.500
145,5212.100
146,4102.700
147,4241.500
148,3507.300
149,5550.400
150,3582.400
151,8997.700
152,3626.300
153,3482.000
154,5883.900
155,5966.300
156,7078.100
157,4373.600
158,3792.700
159,3607.600
160,4940.100
161,3635.500
162,10052.200
163,3846.600
164,3786.100
165,4646.800
166,4903.200
167,4405.700
168,5263.100
169,3486.000
170,3778.100
171,3477.200
172,6269.500
173,3531.100
174,4178.300
175,4524.300
176,4389.100
177,7132.200
178,6937.000
179,12476.400
180,5330.800
181,6255.600
182,5040.200
183,4018.700
184,3790.600
185,3583.300
186,5010.200
187,5368.600
188,4304.900
189,3720.300
190,4590.400
191,4008.100
192,4054.100
193,3497.900
194,8269.400
195,8490.100
196,7334.200
197,4572.700
198,3737.800
199,203593.400
200,4933.100
201,7166.100
202,4369.300
203,3456.800
204,6041.600
205,3999.000
206,4468.100
207,4933.200
208,3962.300
209,4285.700
210,3678.400
211,7478.800
212,4609.100
213,3771.200
214,9637.200
215,4583.300
216,3869.400
217,4553.000
218,5701.400
219,4516.400
220,6180.800
221,4304.300
222,6291.100
223,5024.700
224,9511.600
225,5480.500
226,3679.200
227,3897.900
228,4029.700
229,5744.000
230,7110.400
231,3965.400
232,4542.300
233,3822.300
234,4474.900
235,4676.800
236,4179.000
237,4462.000
238,6908.000
239,4543.700
240,5222.500
241,4433.000
242,6298.400
243,4472.700
244,4905.700
245,3768.700
246,5007.100
247,4494.600
248,4841.400
249,4574.700
250,8849.100
